Num,Latitude,Longitude
1,37.336803,126.712836
2,37.501303,126.787808
3,37.522501,126.777363
4,37.511178,126.743209
5,37.508776,126.738469
6,37.528486,126.741476
7,37.510999,126.778994
8,37.529438,126.742163
9,37.516358,126.734111
10,37.513337,126.734624
11,37.519982,126.745824
12,37.52741,126.740086
13,37.506854,126.7437
14,37.512927,126.733512
15,37.52259,126.728818
16,37.516374,126.728928
17,37.517758,126.751283
18,37.513837,126.729257
19,37.535962,126.744475
20,37.508153,126.745149
21,37.503699,126.741638
22,37.524674,126.732673
23,37.51963,126.758512
24,37.535262,126.751988
25,37.50197,126.746565
26,37.498813,126.734568
27,37.514914,126.738557
28,37.508532,126.715458
29,37.524037,126.724325
30,37.523991,126.76453
31,37.504435,126.743822
32,37.500896,126.737821
33,37.51271,126.745055
34,37.515913,126.751696
35,37.503678,126.721922
36,37.516754,126.749318
37,37.524773,126.732876
38,37.526686,126.73144
39,37.515954,126.755605
40,37.512459,126.774272
41,37.502141,126.731028
42,37.515136,126.75018
43,37.515853,126.743066
44,37.520826,126.741423
45,37.522953,126.726729
46,37.50535,126.763416
47,37.524894,126.742846
48,37.51229,126.773358
49,37.510888,126.741811
50,37.508767,126.744736
51,37.520047,126.747446
52,37.51306,126.75725
53,37.519753,126.75185
54,37.498637,126.739824
55,37.498166,126.742507
56,37.495777,126.755641
57,37.499945,126.744396
58,37.520773,126.730851
59,37.520073,126.744839
60,37.507588,126.751868
61,37.514036,126.748227
62,37.529715,126.763557
63,37.519364,126.744971
64,37.51749,126.750931
65,37.516057,126.73019
66,37.500157,126.729854
67,37.51238,126.750973
68,37.521907,126.740497
69,37.516894,126.75442
70,37.50128,126.755852
71,37.521877,126.7437
72,37.538344,126.73816
73,37.516782,126.744219
74,37.507605,126.754309
75,37.511238,126.72976
76,37.512074,126.753163
77,37.506274,126.733469
78,37.516203,126.730437
79,37.52572,126.736515
80,37.522759,126.742747
81,37.510719,126.743
82,37.529656,126.743509
83,37.510132,126.747794
84,37.524564,126.743951
85,37.510625,126.730685
86,37.518688,126.748795
87,37.525711,126.742709
88,37.48853,126.727267
89,37.51092,126.741983
90,37.5045,126.725182
91,37.506093,126.744066
92,37.52182,126.751107
93,37.512393,126.747957
94,37.50192,126.721316
95,37.500456,126.757042
96,37.499478,126.720494
97,37.525338,126.72415
98,37.521989,126.748836
99,37.51376,126.746186
100,37.51631,126.751855
101,37.508537,126.761175
102,37.52571,126.733702
103,37.513218,126.747196
104,37.507377,126.742627
105,37.519108,126.73588
106,37.514508,126.72359
107,37.500101,126.750198
108,37.536696,126.743681
109,37.519502,126.758401
110,37.504249,126.750696
111,37.526322,126.745401
112,37.525668,126.725541
113,37.496722,126.714253
114,37.523593,126.73199
115,37.503148,126.732941
116,37.52141,126.726739
117,37.526085,126.732372
118,37.517188,126.743954
119,37.506581,126.726754
120,37.519483,126.748905
121,37.538706,126.762193
122,37.519982,126.755326
123,37.49799,126.757062
124,37.512311,126.742036
125,37.511079,126.753497
126,37.511509,126.747098
127,37.492328,126.74704
128,37.514676,126.757561
129,37.506662,126.739395
130,37.502917,126.737594
131,37.506861,126.784022
132,37.50065,126.789027
133,37.505492,126.772786
134,37.515002,126.788405
135,37.498822,126.780983
136,37.505839,126.778835
137,37.50245,126.776083
138,37.499764,126.78839
139,37.494465,126.792547
140,37.517241,126.788553
141,37.497894,126.790001
142,37.505223,126.775659
143,37.511689,126.762178
144,37.489584,126.783826
145,37.500145,126.779734
146,37.507749,126.787304
147,37.480296,126.7974
148,37.490953,126.770698
149,37.506859,126.772425
150,37.51529,126.787485
151,37.51408,126.776999
152,37.504382,126.777466
153,37.516336,126.777924
154,37.500465,126.773598
155,37.509509,126.797159
156,37.513849,126.762982
157,37.504701,126.793714
158,37.511643,126.795462
159,37.490766,126.791746
160,37.495096,126.776432
161,37.500002,126.783462
162,37.504494,126.800527
163,37.486208,126.7835
164,37.497938,126.791902
165,37.482177,126.781825
166,37.495899,126.758489
167,37.50623,126.785899
168,37.513338,126.786133
169,37.508338,126.769468
170,37.501477,126.765171
171,37.503401,126.763057
172,37.511058,126.80112
173,37.489436,126.779348
174,37.494971,126.793808
175,37.50621,126.777823
176,37.491501,126.786202
177,37.498219,126.780167
178,37.511169,126.789388
179,37.49505,126.776385
180,37.494385,126.790786
181,37.512803,126.779118
182,37.511341,126.760154
183,37.51413,126.778947
184,37.508267,126.788895
185,37.513837,126.780975
186,37.501576,126.77067
187,37.502368,126.787375
188,37.500937,126.776354
189,37.486591,126.782308
190,37.518344,126.789345
191,37.500792,126.781857
192,37.517332,126.776174
193,37.49785,126.788818
194,37.494254,126.803926
195,37.490201,126.769296
196,37.509392,126.785805
197,37.504925,126.777852
198,37.49533,126.767962
199,37.50283,126.787533
200,37.512051,126.783432
201,37.50507,126.800251
202,37.501216,126.783546
203,37.504175,126.778197
204,37.517062,126.776799
205,37.501728,126.782176
206,37.504245,126.768876
207,37.497888,126.785622
208,37.497695,126.76403
209,37.496985,126.788786
210,37.496129,126.768179
211,37.490827,126.786169
212,37.509641,126.777106
